Title,Company,Link,Review,Salary,Description
Principal Application Developer,Oracle,https://in.indeed.com/rc/clk?jk=06962cddf4d38987&fccid=cd22d01053af7669&vjs=3,3.8,None,"Principal Application Developer-21000A71

Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications
The Team
This position is in the My Oracle Support Applications group. My Oracle Support is a mission critical application used by Oracle Customer Support to manage and resolve all customer-initiated requests for different Oracle products. We are investing in building next generation My Oracle Support application using OCI, PaaS and SaaS offerings from Oracle technology and application stack with a goal of enhancing our customers experience.
We are a group of highly motivated application engineers with expertise across the enterprise application technology stack, working in small agile teams to solve sophisticated and high impact problems.
Are you passionate about architecting and developing solutions that solve complex business and systems problems by leveraging state-of-the-art technology?
What you will do
Responsible for full software lifecycle, design and development of UI solutions.
Involved in application analysis, design, development, verification and validation, it is to be done as per industry guidelines and best practices.
Design and implement changes to existing software architecture, build highly sophisticated enhancements and optimize working code .
Build and execute unit/functional tests and plans. Review integration and regression test plans.
Complete own role independently or with minimal supervision/guidance.
Research and evaluate a variety of software products and development tools.
Apply knowledge/skills to a range of standard and moderately complex activities
Assimilate disparate information (log files, error messages, etc.) and pursue leads to perform root cause analysis.
Ensure optimum performance, high availability and stability of solutions.
Seamlessly work in a multisite, multicultural development team.
Focus on taking actions and delivering results.
Think systematically in a multicultural environment, to deal with different role & team members.
Provides technical guidance and support to colleagues such as code reviews, testing, and software documentation as required.
What you will need
Essential
Graduate or Post Graduate degree in Computer Science or equivalent qualification
Minimum 6 years of software engineering experience, developing and delivering products and solutions in a commercial environment.
Expertise in UI Development using HTML, CSS, JavaScript, jQuery. Experience with at least one JavaScript framework like Angular, React etc.
Must demonstrate a deep understanding of API and integration concepts and technologies, such as REST, SOAP, JSON, XML, message queues, and integration pattern/frameworks.
Demonstrated OO design skills and familiarity with GOF design patterns. Strong understanding of computer science fundamentals and data structures.
Experience with implementing continuous integration and delivery concepts (CI/CD) using Jenkins and other tools(e.g. Git Hub, Jenkins, Bamboo, Gradle/Maven, Artifactory) is required.
Strong knowledge of common web protocols, networking, and systems.
Experience with RDBMS systems(Oracle/MySQL etc.)
Desirable:
Experience working with OJET and VBCS.
Test development experience using Mocha/Chai/Jasmine/cucumber is an added advantage.
Development experience with Microservices architecture, development and deployment on Docker/Kubernetes using helm charts.
Experience working with cloud computing technologies, e.g. GCP/AWS/Oracle/OpenStack
Detailed Description and Job Requirements
Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.

As a member of the software engineering division, you will analyze and integrate external customer specifications. Specify, design and implement modest changes to existing software architecture. Build new products and development tools. Build and execute unit tests and unit test plans. Review integration and regression test plans created by QA. Communicate with QA and porting engineering to discuss major changes to functionality.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.
Job: Product Development
Travel: No
Location: IN-IN,India-Bengaluru
Other Locations: IN-IN,India-Gurgaon, IN-IN,India-New Delhi, IN-India
Job Type: Regular Employee Hire
Organization: Oracle"
Front End Developer,BINALYTO DATA SERVICES PVT. LTD.,https://in.indeed.com/company/BINALYTO-DATA-SERVICES-PVT.-LTD./jobs/Front-End-Developer-c245014b2f7d0fcc?fccid=5637f1d2ef4f57ba&vjs=3,None,"₹15,000 a month","We are looking for a Front-End Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
The candidate should have advanced knowledge in Using JavaScript, HTML, CSS and AngularJS.
Responsibilities
Designing, developing, and testing UI for websites and applications
Build reusable code and libraries for future use
Accurately translate user and business needs into functional frontend code
Qualifications
Bachelor's degree or equivalent in Computer Science
2+ years' experience in frontend development
Familiarity using Scrum/Agile development methodologies
Experience building object-oriented web applications in JavaScript, HTML5, and CSS3
Job Type: Full-time
Salary: From ₹15,000.00 per month
Benefits:
Cell phone reimbursement
Schedule:
Day shift
Supplemental Pay:
Overtime pay
Performance bonus
Shift allowance
Experience:
Programming / HTML: 1 year (Required)
css: 1 year (Required)
total work: 2 years (Required)
AngularJS: 1 year (Preferred)
Work Remotely:
No
COVID-19 Precaution(s):
Social distancing guidelines in place
Virtual meetings
Sanitising, disinfecting, or cleaning procedures in place"
PHP Laravel Developer,Vedhas Resources,https://in.indeed.com/company/Vedhas-Resources/jobs/PHP-Laravel-Developer-495bf2340b8a9bbc?fccid=cd2b6de52bed94c8&vjs=3,None,"₹10,000 - ₹20,000 a month","PHP / Laravel developer duties and responsibilities
Develop, record, and maintain cutting edge web-based PHP applications on portal plus premium service platforms
Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team
Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
Prepare and maintain all applications utilizing standard development tools
Utilize backend data services and contribute to increasing existing data services API
Lead the entire web application development life cycle right from concept stage to delivery and post-launch support
Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
Document the development process, architecture, and standard components
Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as a liaison between development staff and project manager
Keep abreast of new trends and best practices in web development
PHP / Laravel developer requirements and qualifications
Previous working experience as a PHP / Laravel developer for (x) year(s)
BS/MS degree in Computer Science, Engineering, MIS, or similar relevant field
In-depth knowledge of object-oriented PHP and Laravel 5 PHP Framework
Hands-on experience with SQL schema design, SOLID principles, REST API design
Software testing (PHPUnit, PHPSpec, Behat)
MySQL profiling and query optimization
Creative and efficient problem solver
Work Timings: 10 AM - 7 PM
Remuneration: No Bar For The Right Candidate
Address :
Vedhas Technology Solutions Pvt Ltd
1st floor , City Center, Himayatnagar.
Landmark: Beside Kotak Mahindra Bank,Himayatnagar.
EMAIL ID: HR AT THE RATE TECHVEDHAS DOT COM
Contact : 040 23224181
Contract length: 12 months
Job Types: Full-time, Internship
Salary: ₹10,000.00 - ₹20,000.00 per month
Schedule:
Day shift
Experience:
PHP : 1 year (Preferred)
LARAVEL: 1 year (Preferred)
Education:
Bachelor's (Preferred)
COVID-19 Precaution(s):
Sanitising, disinfecting, or cleaning procedures in place
Speak with the employer
+91 +914023224181"
Dev Ops Manager,People Interactive Pvt Ltd.,https://in.indeed.com/rc/clk?jk=281b8779c78714a5&fccid=d40cc16482b72064&vjs=3,4.1,None,"Overview - At Shaadi, we always put our users first. We start by looking at things from the user’s perspective and end by evaluating how the solution has impacted the user. We are looking for People who are continuously adapting to new technologies and excited to work on products that influence millions of people every day. The Shaadi.com Android and iOS mobile applications are used by millions of people around the world and are some of India’s best known and most loved applications and we’re looking for someone to lead the engineering teams that build these apps.
Role - As Devops manager, you will have strong customer and operational focus, ability to understand and deep dive cross functional and inter dependent teams to eliminate the technical debt. You will also be responsible for working closely with other managers of software development teams within shaadi to improve their systems. Your solutions will impact our customers directly. You will be utilizing your experience with systems administration, agile development practices, performance monitoring, micro services and CI/CD to build high-performance, scalable, automated and fault tolerant web and data processing applications.
Ownership. You will own the strategy, delivery, quality, and the outcomes of the mobile development team and will be accountable for the same.
User orientation. You must have the ability to understand business requirements and long-term vision of the product and user intent to build world class mobile Apps.
Collaboration - Work in a cross-functional agile environment alongside developers and product managers to conceptualize, build, test and realize products
World-class innovation – Think laterally, evaluate competitive and innovative products and create compelling device specific user interfaces and experiences
Velocity- You will be expected to deliver results in a fast paced, operationally intensive, and rapidly changing environment.
What you will do in this role
Responsibilities include: Design, plan, deploy, administer and support applications, systems and services in development environments; focus will be on application/service availability, latency, performance, automation, change management, monitoring, and capacity planning.
Cloud and Micro Services Technologies: Experience in building and deploying infrastructure in AWS or Openstack or Kubernetes platform. Strong background Application deployment in Container and Micro services application architecture.
Develop and maintain our CI/CD pipeline and various production and testing environments
Working across development teams to streamline development, testing and deployment
Analyze and resolve complex problems including inter-operability issues, issues caused by hardware or software.
Partner with internal teams while taking initiative to implement and improve organizational processes and procedures.
Oversee daily operations of large-scale carrier grade systems; Schedule, document and manage maintenance and troubleshooting procedures as necessary.

What you should have
Bachelor's degree in Computer Science or related technical discipline, or relevant industry experience.
6+ years’ experience managing people. Experience in hiring, building, and supervising high performance teams.
Strong metrics and operational excellence focus.
Ability to handle multiple competing priorities in a fast-paced environment
Technical aptitude to quickly grasp complex technical issues and communicate directly with technical teams.
Proven track record of taking ownership and driving results on technical projects
Has relentlessly high standards (is never satisfied with the status quo)
Know more about our culture, leadership principles and company here"
Python Django / Azure Application Developer (Mid-Senior Cons...,ERM Group,https://in.indeed.com/rc/clk?jk=59f304f69393d92a&fccid=3f0d5695925aa6ba&vjs=3,3.3,None,"ERM is seeking an experienced Full Stack Python Django / Azure Application Developer in India to join our global Digital Services business. This position requires a developer with expertise in building front - end UI / websites supported by Python backend, and a proven track - record in designing, API developing, deploying and supporting production level, quality Python based web applications. The successful candidate will be talented, smart, energetic and passionate about application design and development.
At ERM, we offer a unique combination of Environmental Health, Safety and Sustainability (EHS&S) and innovative digital solution expertise. Our Digital Services business helps organizations optimize operational performance at an accelerated pace and large scale, and achieve improvements in EHS and sustainability performance through tech-enabled innovation and digital transformation of the enterprise. A core part of the transformation is the digitization of environment, health and safety (EHS) and sustainability systems, making processes more automated, better connected and insightful. We deliver these business outcomes through our global network, EHS and sustainability subject matter expertise and extensive digital capabilities. Our digital services approach integrates Digital Advisory, Digital Systems, and Data Management & Analytics.
ERM has enduring values, which are fundamental to our business conduct. We are passionate about our people, their safety, well-being and development. ERMers take accountability, are client focused, and collaborate with colleagues across geographies. If you share our values, believe in sustainability and are motivated by opportunities to shape, build, and contribute to a team that makes a real impact to our client’s businesses, ERM is the right place for you. We offer a flexible working environment and competitive salary.
As a member on our team, you will be a valuable asset amongst a diverse team of professionals striving to address business growth, daily business operations and innovative technology. You will work within an environment that promotes proactive cooperation and motivates individuals to maintain a positive attitude in order to consistently deliver quality services and technical solutions.
RESPONSIBILITIES:
Analyze business requirements and recommend a thorough and practical approach to delivering and implementing the appropriate technology solution on Microsoft Azure platform.
Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.
Build the front-end of applications through appealing visual design.
Develop and manage well-functioning databases and applications.
Test software to ensure responsiveness and efficiency.
Troubleshoot, debug and upgrade software.
Create security and data protection settings.
Build features and applications with a mobile responsive design.
Write technical documentation.
Work with Data Scientists and Analysts to improve software.
Apply development principles and best practices to build a scalable platform.
Integrate Python Machine learning API with the UI in a secure way.
Implement Data models to support the application framework and use industry standards for data security
Work closely with subject matter experts and technical leaders from additional ERM business units, across time zones, as part of diverse teams that may be established for revenue delivery on project to project basis.
Demonstrate a passion for learning and applying knowledge of emerging digital technologies coupled with out-of-the-box thinking in delivering integrated solutions to clients.
REQUIREMENTS:
Bachelor’s or Master’s degree in Computer Science, Information Technology or related field of study. MCA preferable.
8 – 12 years of practical web application development experience.
In depth knowledge of developing and implementing applications using Python / Python Django / AngularJS / Angular / D3.js / Chart.js C#, Net WebAPI, OData, REST, Entity Framework is essential.
Hands-on experience in Azure Web Apps, Azure SQL Database, Azure Logic Apps , Data Lake and working with large amounts of data.
Database design and API development is essential.
Knowledge of building CI/CD pipelines.
Hands-on experience in integrating application with Python models and routines and proven experience as a Full Stack Developer or similar roles.
Experience developing desktop and mobile applications
Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery).
Knowledge of multiple back-end languages (e.g. Python) and JavaScript frameworks (e.g. Angular, React, Node.js).
Hands-on with database design (e.g. SQLserver, MongoDB), web servers (e.g. Apache) and UI/UX design.
Skilled and experienced in working with various visualization packages.
Good understanding of client-side state management principles.
Demonstrated understanding of Scrum/Agile development.
Ability to understand business requirements and convert requirements to technical specifications required for application development.
Skilled in writing clean, standardized code that performs optimally in highly concurrent environments.
Self-organized and ability to manage time and resources well.
Who We Are:
As the world’s leading sustainability consulting firm, ERM is uniquely positioned to contribute to the environment and society through the expertise and energy of our employees worldwide. Sustainability is what we do, and is at the heart of both our service offerings and how we operate our business. ERM and our partners are driven by a dynamic vision: By 2021 we will be the clear leader in our chosen markets, we will double in value and we will deliver on our promises to our clients, our people and our investors. For our people, our vision means attracting, inspiring, developing and rewarding our people to work with the best clients and on the biggest challenges, thus creating valuable careers. We achieve our vision in a sustainable manner by maintaining and living our ERM values that include Accountability, Caring for our People, Client Focus, Collaboration, Empowerment, and Transparency.
Please submit your resume and brief cover letter.
ERM does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, ERM employees or any other company location. ERM is not responsible for any fees related to unsolicited resumes.
ERM is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, marital status or disability status.
Thank you for your interest in ERM!"
Java Developer,AIT TECHNOLOGIES,https://in.indeed.com/company/AIT-TECHNOLOGIES/jobs/Java-Developer-fe766e48e4beb4df?fccid=8bae1d6d48dd19fa&vjs=3,None,"₹20,000 - ₹40,000 a month","Description:
We are looking Software Developer, Java Services and Integrations who will work within a service layer team developing API’s, integration web services, and web applications server-side coding using core Java and advanced Java programming and technology.
This role will be responsible for developing API’s for both internal and external consumption, develop applications for Marketing business requirements; working with cross cultural development teams, architects and partners. The ability to problem tackle will be a key ingredient to success, good communication skills is a must and a willingness to work with others and learn as a team rounds out the qualified candidate.
Key Responsibilities:
Works with diverse group of developers, business users, project teams encouraging collaboration.
Effective contributor (coding, code reviews, design reviews, internal testing sign off etc.) for building solutions.
Technical point of contact for all technical issues and partner with the team to analyze, investigate and resolve open issues, vulnerabilities, secure coding etc.
Contribute to the design discussions, contribute towards design discussions, perform PoCs wherever required to support/back up design decisions.
Provide technical expertise to support team during incident/problem resolution.
Ability to supervise and analyze production application logs
Ability to do the reviews and follow the process methodologies and documentation
Good understanding of UI tech stack preferably - HTML5, JavaScript(ES5 & ES6), Object oriented JavaScript, Ajax, JSON, , Angular/React JS frameworks and Responsive web development.
Knowledge working with GIT, Maven/Gradle, JIRA, Confluence, Bitbucket etc.
Experience in implementation of Java, J2EE and JS Design patterns.
Experience with relational and non-relational databases
Experience in writing unit cases using JUnit, Mocha/Jasmine/Jest libraries.
Should be able to deploy the application in non-production environments on Linux platforms.
Experience in Agile methodology
Qualifications:
Education - Master'degree in Computer Science or equivalent.
0- 1 year of hands-on experience or having university projects in developing scalable, highly performance API’s (RESTful Webservices, JSON), Micro Services and required web-based applications using both core and advanced Java/J2EE which may include Spring web services, Spring MVC, Spring boot, Hibernate and worked in Agile teams.
Good Conceptual knowledge and understanding with data modeling
Works equally effectively as an individual as with team members, Self-starter
Analytical, and be skilled at problem solving
Previous experience working in a SCRUM or agile environment
Demonstrate the ability to understand and articulate complex requirements
Experience with database technologies (MySQL, MS SQL, SAP HANA)
Experience with Cloud services.
Job Type: Full-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Schedule:
Day shift
Education:
Master's (Preferred)
Licence:
Java SE 7 Programmer (Preferred)
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Virtual meetings
Sanitising, disinfecting, or cleaning procedures in place"
Full Stack Azure Application Developer (Mid-Senior Consultan...,ERM Group,https://in.indeed.com/rc/clk?jk=4ed4f81eee069c00&fccid=3f0d5695925aa6ba&vjs=3,3.3,None,"ERM is seeking an experienced Full Stack Azure Application Developer in India to join our global Digital Services business. This position requires a developer with expertise in building front - end UI / websites supported by Python backend, and a proven track - record in designing, API developing, deploying and supporting production level, quality .NET web applications. The successful candidate will be talented, smart, energetic and passionate about application design and development
At ERM, we offer a unique combination of Environmental Health, Safety and Sustainability (EHS&S) and innovative digital solution expertise. Our Digital Services business helps organizations optimize operational performance at an accelerated pace and large scale, and achieve improvements in EHS and sustainability performance through tech-enabled innovation and digital transformation of the enterprise. A core part of the transformation is the digitization of environment, health and safety (EHS) and sustainability systems, making processes more automated, better connected and insightful. We deliver these business outcomes through our global network, EHS and sustainability subject matter expertise and extensive digital capabilities. Our digital services approach integrates Digital Advisory, Digital Systems, and Data Management & Analytics.
ERM has enduring values, which are fundamental to our business conduct. We are passionate about our people, their safety, well-being and development. ERMers take accountability, are client focused, and collaborate with colleagues across geographies. If you share our values, believe in sustainability and are motivated by opportunities to shape, build, and contribute to a team that makes a real impact to our client’s businesses, ERM is the right place for you. We offer a flexible working environment and competitive salary.
As a senior member on our team, you will be a valuable asset amongst a diverse team of professionals striving to address business growth, daily business operations and innovative technology. You will work within an environment that promotes proactive cooperation and motivates individuals to maintain a positive attitude in order to consistently deliver quality services and technical solutions.
RESPONSIBILITIES:
Analyze business requirements and recommend a thorough and practical approach to delivering and implementing the appropriate technology solution on Microsoft Azure platform.
Complete technical documentation for all assigned development initiatives, and ensure the appropriate level of approvals are obtained prior to application construction.
Review code and provide constructive guidance for improvement of peers.
Escalate any roadblocks and/or obstacles to management as needed to ensure that assigned application development deliverables are completed on time and within budget.
Apply development principles and best practices to build a scalable platform.
Build and maintain the deployment pipeline for infrastructure and code.
Build and maintain a product platform.
Implement an appropriate visualization patterns for selected Python AI models.
Integrate Python Machine learning API with the UI in a secure way.
Implement Data models to support the application framework and use industry standards for data security.
Work closely with subject matter experts and technical leaders from additional ERM’s business units, across time zones, as part of diverse teams that may be established for revenue delivery on project to project basis.
REQUIREMENTS:
Bachelor’s or Master’s degree in Computer Science, Information Technology or related field of study. MCA preferable.
8 – 12 years of practical web application development experience.
In depth knowledge of developing and implementing applications using AngularJS / Angular / D3.js / Chart.js C#, Net WebAPI, OData, REST, Entity Framework is essential for the position.
Database design and API development is essential.
Hands-on experience in integrating application with Python models and routines.
Hands-on experience working with various visualization packages.
In depth knowledge of Microsoft .Net Framework and .Net Core.
Hands-on experience in Azure Web Apps, Azure SQL Database, Azure Logic Apps.
Good understanding of client-side state management principles.
Demonstrated understanding of Scrum/Agile development.
Ability to understand business requirements and convert them to technical specifications required for application development.
Skilled in writing clean, standardized code that performs optimally in highly concurrent environments
Self-organized with the ability to manage time and resources well.
Who We Are:
As the world’s leading sustainability consulting firm, ERM is uniquely positioned to contribute to the environment and society through the expertise and energy of our employees worldwide. Sustainability is what we do, and is at the heart of both our service offerings and how we operate our business. ERM and our partners are driven by a dynamic vision: By 2021 we will be the clear leader in our chosen markets, we will double in value and we will deliver on our promises to our clients, our people and our investors. For our people, our vision means attracting, inspiring, developing and rewarding our people to work with the best clients and on the biggest challenges, thus creating valuable careers. We achieve our vision in a sustainable manner by maintaining and living our ERM values that include Accountability, Caring for our People, Client Focus, Collaboration, Empowerment, and Transparency.
Please submit your resume and brief cover letter.
ERM does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, ERM employees or any other company location. ERM is not responsible for any fees related to unsolicited resumes.
ERM is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, marital status or disability status.
Thank you for your interest in ERM!"
Full Stack Dot Net Developer,Flexi Ventures Private Limited,https://in.indeed.com/company/Flexi-Ventures-Private-Limited/jobs/Full-Stack-Dot-Net-Developer-1dbdf153bfd434a4?fccid=8596f890ef5aa5a1&vjs=3,None,"₹2,73,870 - ₹12,74,484 a year","4+ years of Full stack application development experience based on frameworks as .NET. Candidate
should have worked on design and architecture using object oriented analysis and design
methodologies.
Required skills
Strong software analysis, architecture development and design skills.
Experience in C#.NET and ASP.NET development, .NET Core 3.1 / .NET 5.0, ASP.NET,
AD and other components
Experience in front end technologies like React and Angular
Experience in building REST and SOAP based web services, and securely invoking
them as well.
Security protocols and standards like OAuth, PKI,SSL etc. Knowledge of securiParticipate and liaison with customers in building requirements, propose technical
solutions and build proof of value from technology perspective.
Work on complex problems where analysis of situations or data requires an in-depth
evaluation of various factors.
Exercises judgment within broadly-defined practices and policies in selecting
methods, techniques, and evaluation criteria for obtaining results.
Education and Equivalent experience:
Bachelor’s degree in Computer Science or a related discipline.
ng
enterprise applications using right tools and protocols
Should be good at development processes.
Strong database fundamentals with hands on experience with MS SQL Server T-SQL
programming and IIS
Cross-platform development of web-based applications for use on both mobile
devices and browser
Working knowledge on data structures, algorithms and object oriented design.
Strong analytical, diagnostic and problem solving skills
Supports group development/process initiatives.
Good to have
Exposure to Agile SDLC
Experience and exposure to Azure DevOps.
Experience and exposure to Azure PaaS like Functions, LogicApps, Cosmos etc
Responsibilities
Design and develop applications in the Microsoft stack including Azure
Application Deadline: 31/3/2021
Job Type: Full-time
Salary: ₹273,870.00 - ₹1,274,484.00 per year
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
mvc: 1 year (Preferred)
total work: 4 years (Preferred)
C#: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
HTML (Required)
.NET (Required)
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Virtual meetings"
Front End Developer ( Angular ),HP,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOefEmXwTDv0x7eeR7AMe8ZPs5UqlqJGkCUaRGI1w7I6wCRxsGEXPWsX9VZlRr49lEZSCgPSMChkXUZE-IWo3NpEJ50YOZlnTy4XyEKwixFeH8uBOF3YYCvUwzcq6HUyKqkjbS2pGICdttw19te1w-27ZMnmpxN6aCmnIJCp2JsakXUYzCkDgm1bu3KqzSBHan9HRtMpI8njPqobPD3_8hw6AVGu8lUvkIe_jXKhKKb5xAjyIM9tTLOIbe96YeqWy-yiolPA3HcV2G5bJTynat8L8SIGd2kT0Pb4R-KAH7NXfuBi0_5s4MBQDfx97rVJWpbmnEmS2jcUnGU-mQBWxFQ7bCMkH1gGZloYHB_sGiK7pX_Chqhf3cbsUYN_i0BCZxFbbMBWgmTQ80yT7wVJXl7yXnNAVBv0XJz8xulmA_lllf6avSQDCO84jGOW6j2huyjYnvzniQtxxqTUDR-ymAw4EidIeyatNNY6-3pxT2kKtdawpszpgKkOcnCjvgYhoaDXDXUUWa1oCmTMy9lls65QjrRSfXl3bUYI5GneyALh7PjXu9w4VAsa6I4aWkpBnQjZKU5w7k8Q2Hyb0Uhl24PYRo3Aw_QAD_z73vygjpQqZTx1sW9LU9LNyC0E7znpmkq-NwyBRbAlR1dZVFG7NWzBl4RItIJNB1wZzMQT42HU7TUtCsOVI8yr9uWZsLlBgAZm4xPHzi3tdJlrCmxTUgXDZvPTCvBKjpk3gJO2f92vvIdgHW7nLQ7jjPt9ASQb8GTz611vaqnjWCIVjFtLVE7itO573-pNCMmQXOtjAqbXL_OR6xkOlOpj56SfQLtiC3S2mAC7ynlREcpbXqwfEL6E_w8sdxqxS1buqDdVX4hX3y5iBDH0HsgGESFwgk0ci8Ul9Zdl60HqaNmg8LaZow00=&p=0&fvj=0&vjs=3,4.0,None,"At HP, talent is our criteria. Join us in reinventing the standard for diversity and inclusion. Bring your awesomeness, and just be you! HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works. At HP, the future is yours to create!
As a senior front-end developer, this position will be responsible for the development of the strategic customer support platform for our support organization. This is a hands-on development role. The developer will be part of a team that is building an enterprise support application.
As a senior developer, this position will work closely with the architect and other development resources, within provided guidelines, to deliver solutions. The position will perform coding, testing, implementation, and documentation of solutions, building and supporting various integrations with both external and internal systems.
Responsibilities:
To collaborate with multiple groups within the organization to investigate design approaches, prototype new solutions and evaluate technical feasibility.
Work in Agile Scrum and Test-driven development.
Education and Experience Required:
Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent.
Typically 10-14 years of experience.
Experience in web development.
Experience in building resilient applications based on HTML, CSS, SCSS, Javascript, Angular 2+.
Exposure to Angular universal. Exposure to dynamic rendering engines like rendertron would be a plus.
Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.
Other Skills:
Using software applications design tools and languages.
Strong analytical and problem-solving skills.
Designing software applications running on multiple platform types.
Software applications testing methodology, including writing and execution of test plans, debugging, and testing scripts and tools.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate product architectures, design proposals and negotiate options at management levels."
ECM Developer,NetApp,https://in.indeed.com/rc/clk?jk=2af5c0e9f9acb30a&fccid=77cec2f25f9bd7ed&vjs=3,4.1,None,"Job Summary

As a Programmer Analyst 3 you are part of a team of professionals who solution, design, develop, document, test, debug, deploy, and support IT Integration systems company-wide. You may specialize in a specific functional area such as Sales, Marketing, Customer Service, Finance, Human Resources, Supply Chain, Data Warehouse, IT in the backdrop of technology, or you may work with internal clients from multiple functions.

A strong Application and Business Process Integration technical knowledge base, strong ‘hands on’ Content Management experience, in managing Oracle Enterprise Content Management with Web Center Content and collaboration skills are required for this position. You will work closely with application teams within and across functions to understand Integration technical requirements, and delivery. You must possess strong communication and interpersonal skills.

Job Requirements

Excellent oral and written communication skills.
Excellent analytical, problem-solving, collaboration, negotiation and organizational skills.
Excellent knowledge on Oracle Web Center Content (WCC) and Oracle ECM.
Excellent Knowledge on UI technologies like SSXA, Angular JS or React JS
Extensive programming, development, solutioning, designing and debugging skills.
Good Knowledge and experience on Spring Framework, Web Services, SOA, REST API.
Good Knowledge of programming languages, and development tools like IDEs, Continuous Integration Tools, XML related parsers, Open Source productivity tools, etc
Strong aptitude for learning new technologies and understanding how to utilize them in a customer facing environment.
Working knowledge of Enterprise Applications development methodology and life cycle. Exposure to any Agile Development methodology is desirable.
Working knowledge of Microsoft Office Suite including Visio, Excel, Word, Power Point, or other similar tools.
Good understanding of: Relational database concepts, NoSQL Databases, Internet technologies, Unix/Linux Operating system functions, Application Security Concepts.
Ability to innovate existing processes, and suggest improvements
Education

A minimum of 6+ years of experience is required. 6 to 10 years of experience is preferred

A bachelor’s degree required; Computer Science, Information Technology, or related technical field is preferred

Demonstrated ability to have completed multiple, complex Integration technical assignments and attained results in earlier assignments"
